"id","userid","anotheruser","firstcontacttimestamp","lastcontacttimestamp","distance","rssi","batterylevel"
122,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:39:09.339+00","2022-11-11 00:39:09.409+00",101,-76.0,62
123,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:39:09.358+00","2022-11-11 00:39:09.418+00",132,-71.0,62
124,"b6661f70-3752-433b-9b22-6446c959522c","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:38:44.308+00","2022-11-11 00:39:16.726+00",55,-65.0,67
125,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:38:44.352+00","2022-11-11 00:39:16.779+00",93,-70.0,67
126,"b6661f70-3752-433b-9b22-6446c959522c","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 20:18:24.187+00","2022-11-11 20:18:24.757+00",10,-51.0,28
127,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 20:18:24.307+00","2022-11-11 20:18:24.795+00",1,-46.0,28
128,"5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-10 23:57:29.575+00","2022-11-10 23:57:29.61+00",592,-101.0,58
129,"5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:22:49.365+00","2022-11-11 00:22:52.297+00",315,-92.0,57
130,"5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:22:49.38+00","2022-11-11 00:22:52.311+00",336,-92.0,57
131,"5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:22:52.283+00","2022-11-11 00:22:52.303+00",223,-86.0,57
132,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 20:18:00.988+00","2022-11-11 20:18:14.593+00",97,-70.0,74
133,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 20:18:14.28+00","2022-11-11 20:18:36.172+00",50,-70.0,69
134,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 20:18:36.147+00","2022-11-11 20:23:46.084+00",5,-52.0,69
135,"a90d7e53-db59-49be-9ccd-5709053f3202","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-11 20:19:36.166+00","2022-11-11 20:23:22.049+00",136,-66.0,69
136,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 20:19:36.185+00","2022-11-11 20:20:36.172+00",315,-91.0,69
137,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 20:21:06.176+00","2022-11-11 20:23:22.075+00",111,-73.0,69
138,"b6661f70-3752-433b-9b22-6446c959522c","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 20:18:34.773+00","2022-11-11 20:19:37.01+00",10,-51.0,28
139,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 20:18:34.882+00","2022-11-11 20:18:35.147+00",23,-78.0,28
140,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-12 01:36:46.084+00","2022-11-12 01:36:46.084+00",29,-64.0,52
141,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-12 01:36:46.097+00","2022-11-12 01:36:46.097+00",95,-81.0,52
142,"a98df9f9-acaa-402d-81d0-11dd4cdf8a36","b6661f70-3752-433b-9b22-6446c959522c","2022-11-10 23:35:29.549+00","2022-11-10 23:35:43+00",539,-101.0,69
143,"a98df9f9-acaa-402d-81d0-11dd4cdf8a36","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-10 23:35:29.658+00","2022-11-10 23:35:43.112+00",108,-82.0,69
